dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,cum_cases,cum_deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,totalcases 
2/15/2020,15,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,6,1,45,10,0,-1,
2/16/2020,16,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,7,10,9,6,-1,0,
2/17/2020,17,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,2,2,7,1,-2,0,
2/18/2020,18,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,2,2,10,1,-1,1,
2/19/2020,19,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,3,0,6,-1,-1,1,
2/20/2020,20,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,2,-1,14,3,-4,1,
2/21/2020,21,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,2,2,15,-1,-8,2,
2/22/2020,22,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,-1,-2,26,9,-3,0,
2/23/2020,23,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,0,9,-24,2,-3,0,
2/24/2020,24,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,2,-5,17,-5,-20,4,
2/25/2020,25,2,2020,0,0,Germany,DE,DEU,82927922,Europe,0,0,-1,-1,15,-5,-13,4,
2/26/2020,26,2,2020,2,0,Germany,DE,DEU,82927922,Europe,2,0,-3,0,0,-7,-5,2,
2/27/2020,27,2,2020,4,0,Germany,DE,DEU,82927922,Europe,6,0,-5,3,-3,-5,-4,2,
2/28/2020,28,2,2020,26,0,Germany,DE,DEU,82927922,Europe,32,0,3,11,9,-2,-5,2,
2/29/2020,29,2,2020,10,0,Germany,DE,DEU,82927922,Europe,42,0,-1,5,9,1,-1,1,
3/1/2020,1,3,2020,54,0,Germany,DE,DEU,82927922,Europe,96,0,8,18,21,4,1,0,
3/2/2020,2,3,2020,18,0,Germany,DE,DEU,82927922,Europe,114,0,2,8,9,-1,0,0,
3/3/2020,3,3,2020,28,0,Germany,DE,DEU,82927922,Europe,142,0,0,5,8,-3,0,1,
3/4/2020,4,3,2020,39,0,Germany,DE,DEU,82927922,Europe,181,0,2,2,14,-4,0,1,
3/5/2020,5,3,2020,66,0,Germany,DE,DEU,82927922,Europe,247,0,-4,0,0,-5,0,1,
3/6/2020,6,3,2020,138,0,Germany,DE,DEU,82927922,Europe,385,0,-3,1,-11,-7,-1,2,
3/7/2020,7,3,2020,284,0,Germany,DE,DEU,82927922,Europe,669,0,1,0,19,-2,0,1,
3/8/2020,8,3,2020,163,0,Germany,DE,DEU,82927922,Europe,832,0,12,19,31,2,1,0,
3/9/2020,9,3,2020,55,0,Germany,DE,DEU,82927922,Europe,887,0,-1,2,7,-5,-1,1,
3/10/2020,10,3,2020,237,2,Germany,DE,DEU,82927922,Europe,1124,2,-7,-2,-13,-8,-1,3,
3/11/2020,11,3,2020,157,0,Germany,DE,DEU,82927922,Europe,1281,2,-1,2,17,-7,-1,2,
3/12/2020,12,3,2020,271,1,Germany,DE,DEU,82927922,Europe,1552,3,-7,6,4,-9,-2,2,
